Category: All categories

Week,vines: (Worldwide)
2017-02-19,91
2017-02-26,86
2017-03-05,85
2017-03-12,88
2017-03-19,87
2017-03-26,92
2017-04-02,88
2017-04-09,100
2017-04-16,91
2017-04-23,85
2017-04-30,89
2017-05-07,87
2017-05-14,86
2017-05-21,89
2017-05-28,93
2017-06-04,86
2017-06-11,88
2017-06-18,83
2017-06-25,88
2017-07-02,87
2017-07-09,82
2017-07-16,83
2017-07-23,85
2017-07-30,82
2017-08-06,81
2017-08-13,80
2017-08-20,78
2017-08-27,72
2017-09-03,69
2017-09-10,65
2017-09-17,69
2017-09-24,66
2017-10-01,66
2017-10-08,67
2017-10-15,69
2017-10-22,71
2017-10-29,76
2017-11-05,76
2017-11-12,76
2017-11-19,92
2017-11-26,92
2017-12-03,90
2017-12-10,90
2017-12-17,84
2017-12-24,91
2017-12-31,82
2018-01-07,74
2018-01-14,74
2018-01-21,71
2018-01-28,70
2018-02-04,65
2018-02-11,67
